Prices,Reviews,urls,Brand,Processor_Type,RAM_Size,Storage_Capacity,Storage_Type,Screen_Size_Inches,Operating_System,Processor_Generation
60990,4.3,https://www.flipkart.com/samsung-galaxy-book4-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-np750xgj-kg1in-np750xgj-lg1in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDFZXHWYWZ&lid=LSTCOMGZUYDFZXHWYWZJ6V2KW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMGZUYDFZXHWYWZ.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,SAMSUNG,Intel Core i5,8 GB LPDDR4X RAM,512 GB,SSD,15.6,Windows 11,13th Gen
28990,4.2,https://www.flipkart.com/msi-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-modern-14-c12mo-1205in-thin-light-laptop/p/itmb82466e1d1ca2?pid=COMH6C4KVZZPYZNM&lid=LSTCOMH6C4KVZZPYZNMS1JW2M&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_25&otracker=search&otracker1=search&fm=Search&iid=6eea22f2-d003-4909-99e7-dabe7acae419.COMH6C4KVZZPYZNM.SEARCH&ppt=sp&ppn=sp&ssid=a1ywds3tkg0000001744324310848&qH=312f91285e048e09,MSI,Intel Core i3,8 GB DDR4 RAM,512 GB,SSD,14.0,Windows 11,12th Gen
31990,3.7,https://www.flipkart.com/hp-15s-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-15-fc0026au-thin-light-laptop/p/itm4e6d85f618393?pid=COMGZNSBMUR7S8WY&lid=LSTCOMGZNSBMUR7S8WYYVX0NP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_26&otracker=search&otracker1=search&fm=Search&iid=6eea22f2-d003-4909-99e7-dabe7acae419.COMGZNSBMUR7S8WY.SEARCH&ppt=sp&ppn=sp&ssid=a1ywds3tkg0000001744324310848&qH=312f91285e048e09,HP,AMD Ryzen 3,8 GB LPDDR5 RAM,512 GB,SSD,15.6,Windows 11,Not Available
37990,4.3,https://www.flipkart.com/hp-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-15-fc0155au-thin-light-laptop/p/itmd9ac5762d7458?pid=COMH4N767SJX8MZV&lid=LSTCOMH4N767SJX8MZV5TFKRQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_27&otracker=search&otracker1=search&fm=Search&iid=en_vxrV7beLs8cMG-QLiUzsOdM74iEuYHuvIMvviKD2zVtTSJ8bHfV1Go3EaX4N7rAN45Bl3JZ5Rtajss9eZoWjbPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=a1ywds3tkg0000001744324310848&qH=312f91285e048e09,HP,AMD Ryzen 5,8 GB LPDDR5 RAM,512 GB,SSD,15.6,Windows 11,Not Available
77990,4.3,https://www.flipkart.com/hp-pavilion-x360-intel-core-i5-13th-gen-1335u-16-gb-1-tb-ssd-windows-11-home-14-ek1010tu-2-1-laptop/p/itm21fc353b17eed?pid=COMGNJMCCHSS98VZ&lid=LSTCOMGNJMCCHSS98VZVUTRZQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_28&otracker=search&otracker1=search&fm=Search&iid=en_vxrV7beLs8cMG-QLiUzsOdM74iEuYHuvIMvviKD2zVuUEUb9jeVWbDKVgukmZVZqWCGP-4hyStsAJoqMuznQ1fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=a1ywds3tkg0000001744324310848&qH=312f91285e048e09,HP,Intel Core i5,16 GB DDR4 RAM,1 TB,SSD,14.0,Windows 11,13th Gen
72990,4.4,https://www.flipkart.com/lenovo-loq-intel-core-i5-12th-gen-12450hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-15iax9-15iax9d2-gaming-laptop/p/itme3e94a3f73f71?pid=COMHYXVABRPB2XQ5&lid=LSTCOMHYXVABRPB2XQ57M1XQE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_29&otracker=search&otracker1=search&fm=Search&iid=6eea22f2-d003-4909-99e7-dabe7acae419.COMHYXVABRPB2XQ5.SEARCH&ppt=sp&ppn=sp&ssid=a1ywds3tkg0000001744324310848&qH=312f91285e048e09,Lenovo,Intel Core i5,16 GB DDR5 RAM,512 GB,SSD,15.6,Windows 11,12th Gen
114990,4.1,https://www.flipkart.com/acer-predator-helios-neo-16-intel-core-i7-14th-gen-14700hx-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-phn16-72-77gz-gaming-laptop/p/itm34f68c296ce65?pid=COMGZKFB3ZTQGRT4&lid=LSTCOMGZKFB3ZTQGRT4YMVGPV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_30&otracker=search&otracker1=search&fm=Search&iid=6eea22f2-d003-4909-99e7-dabe7acae419.COMGZKFB3ZTQGRT4.SEARCH&ppt=sp&ppn=sp&ssid=a1ywds3tkg0000001744324310848&qH=312f91285e048e09,Acer,Intel Core i7,16 GB DDR5 RAM,1 TB,SSD,16.0,Windows 11,14th Gen
72899,4.1,https://www.flipkart.com/hp-pavilion-intel-core-i7-12th-gen-1255u-16-gb-1-tb-ssd-windows-11-home-14-dv2015tu-thin-light-laptop/p/itmc7b74eb323f11?pid=COMGEG3ZZGWA8XE2&lid=LSTCOMGEG3ZZGWA8XE2JOS971&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_31&otracker=search&otracker1=search&fm=Search&iid=en_vxrV7beLs8cMG-QLiUzsOdM74iEuYHuvIMvviKD2zVsP447eKGaBVIAD6-X5uqjeZ3SgZy8rb5i0D2E8gKl3cfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=a1ywds3tkg0000001744324310848&qH=312f91285e048e09,HP,Intel Core i7,16 GB DDR4 RAM,1 TB,SSD,14.0,Windows 11,12th Gen
189990,4,https://www.flipkart.com/lenovo-yoga-book-9-intel-evo-core-i7-13th-gen-1355u-16-gb-1-tb-ssd-windows-11-home-13iru8-2-1-laptop/p/itm94ad8163feb26?pid=COMGRT5DGKBAED3Q&lid=LSTCOMGRT5DGKBAED3QEV4GDJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_32&otracker=search&otracker1=search&fm=Search&iid=en_vxrV7beLs8cMG-QLiUzsOdM74iEuYHuvIMvviKD2zVt3_qKssrdr1OQi1dOuw49zO5-SYIpN_a3mzhE1TpGG8_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=a1ywds3tkg0000001744324310848&qH=312f91285e048e09,Lenovo,Intel Core i7,16 GB LPDDR5X RAM,1 TB,SSD,13.3,Windows 11,13th Gen
40990,4.2,https://www.flipkart.com/acer-aspire-3-backlit-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm4fa0fcf0e2e15?pid=COMHY24RMZ8PUDTT&lid=LSTCOMHY24RMZ8PUDTT6GAEHA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_33&otracker=search&otracker1=search&fm=Search&iid=6eea22f2-d003-4909-99e7-dabe7acae419.COMHY24RMZ8PUDTT.SEARCH&ppt=sp&ppn=sp&ssid=a1ywds3tkg0000001744324310848&qH=312f91285e048e09,Acer,Intel Core i5,16 GB DDR4 RAM,512 GB,SSD,14.0,Windows 11,12th Gen
